metric,month,value
mop_inr,2021-08-01,2629.399868077128
mop_inr,2021-09-01,3071.9361828327437
mop_inr,2021-10-01,2546.5678341970574
mop_inr,2021-11-01,2588.6675818180543
mop_inr,2021-12-01,3037.573157827162
mop_inr,2022-01-01,2570.7583735455905
mop_inr,2022-02-01,2605.099078132159
mop_inr,2022-03-01,2946.6357709536787
mop_inr,2022-04-01,2714.929248115571
mop_inr,2022-05-01,2389.792942137006
mop_inr,2022-06-01,2482.3238327608074
mop_inr,2022-07-01,2579.597325479809
mop_inr,2022-08-01,2680.722819037398
mop_inr,2022-09-01,2673.7980698010088
mop_inr,2022-10-01,2628.6103102441803
mop_inr,2022-11-01,2589.6643686835873
mop_inr,2022-12-01,2294.453951654704
mop_inr,2023-01-01,2278.5608063201457
mop_inr,2023-02-01,2311.4448058584762
mop_inr,2023-03-01,2278.2220412937004
mop_inr,2023-04-01,2075.535308803004
mop_inr,2023-05-01,2172.542799305155
mop_inr,2023-06-01,2066.438491367181
mop_inr,2023-07-01,2238.510076463303
mop_inr,2023-08-01,1964.6432518460156
mop_inr,2023-09-01,2159.395695054612
mop_inr,2023-10-01,2304.66795869454
mop_inr,2023-11-01,2223.852505993278
mop_inr,2023-12-01,1820.6205774735206
mop_inr,2024-01-01,1863.0537470902989
mop_inr,2024-02-01,1782.7217188475697
mop_inr,2024-03-01,2035.452433602972
mop_inr,2024-04-01,1872.6590800072202
mop_inr,2024-05-01,1869.8833763659236
mop_inr,2024-06-01,2012.4503578622032
mop_inr,2024-07-01,2060.432624371026
mop_inr,2024-08-01,2198.8183239524387
mop_inr,2024-09-01,2260.6375129895364
mop_inr,2024-10-01,2211.2195197860683
mop_inr,2024-11-01,1868.396925044122
mop_inr,2024-12-01,2120.7886800101205
mop_inr,2025-01-01,1973.9806472680993
mop_inr,2025-02-01,1752.217655176663
mop_inr,2025-03-01,2025.2746723322616
mop_inr,2025-04-01,1952.9814079091138
mop_inr,2025-05-01,1996.9329695091603
mop_inr,2025-06-01,2067.181129940348
mop_inr,2025-07-01,2163.0101425850585
mop_inr,2025-08-01,2223.840520685171
mop_inr,2025-09-01,2469.0367655389864
mop_inr,2025-10-01,2302.741864040799
mop_inr,2025-11-01,2262.5726042835167
mop_inr,2025-12-01,2450.0024694983463
mop_inr,2026-01-01,2002.789055242935
mop_inr,2026-02-01,1937.0449227978172
mop_inr,2026-03-01,2004.2077732770033
mop_usd,2020-01-01,43.621861736829395
mop_usd,2020-02-01,58.95681323959835
mop_usd,2020-03-01,55.27775990706579
mop_usd,2020-05-01,41.54226654422445
mop_usd,2020-06-01,36.12639778980205
mop_usd,2020-07-01,42.208205126630084
mop_usd,2020-08-01,45.61544526982461
mop_usd,2020-09-01,45.3149457230027
mop_usd,2020-10-01,47.36997012586538
mop_usd,2020-11-01,44.854249914386585
mop_usd,2020-12-01,32.18345102185702
mop_usd,2021-01-01,43.364849069955625
mop_usd,2021-02-01,41.78549859689622
mop_usd,2021-03-01,44.20662343574098
mop_usd,2021-04-01,40.25348015444701
mop_usd,2021-05-01,36.96079039060023
mop_usd,2021-06-01,30.408094459877894
mop_usd,2021-07-01,35.861894390259764
mop_usd,2021-08-01,35.47649284988381
mop_usd,2021-09-01,41.73115885071119
mop_usd,2021-10-01,33.986039659471444
mop_usd,2021-11-01,34.755846509778316
mop_usd,2021-12-01,40.25914145889468
mop_usd,2022-01-01,34.51680356368261
mop_usd,2022-02-01,34.75271188419047
mop_usd,2022-03-01,38.648529442404474
mop_usd,2022-04-01,35.62868883816044
mop_usd,2022-05-01,30.905585499976798
mop_usd,2022-06-01,31.79827603017152
mop_usd,2022-07-01,32.439461414339945
mop_usd,2022-08-01,33.68374439923017
mop_usd,2022-09-01,33.33508793947931
mop_usd,2022-10-01,31.928423938282414
mop_usd,2022-11-01,31.753364406824694
mop_usd,2022-12-01,27.830926628402096
mop_usd,2023-01-01,27.880389606822284
mop_usd,2023-02-01,27.97786223280264
mop_usd,2023-03-01,27.702550797473585
mop_usd,2023-04-01,25.326027352901104
mop_usd,2023-05-01,26.390529373327517
mop_usd,2023-06-01,25.146857533331772
mop_usd,2023-07-01,27.236743807648086
mop_usd,2023-08-01,23.717246472683726
mop_usd,2023-09-01,26.0024860402787
mop_usd,2023-10-01,27.688515175907355
mop_usd,2023-11-01,26.68397047329959
mop_usd,2023-12-01,21.872639836245654
mop_usd,2024-01-01,22.41668941267682
mop_usd,2024-02-01,21.485377765967055
mop_usd,2024-03-01,24.50528309895325
mop_usd,2024-04-01,22.450500163131093
mop_usd,2024-05-01,22.43192567258795
mop_usd,2024-06-01,24.105711246369705
mop_usd,2024-07-01,24.64551255037692
mop_usd,2024-08-01,26.212366368202975
mop_usd,2024-09-01,26.97689678220032
mop_usd,2024-10-01,26.308958099571313
mop_usd,2024-11-01,22.14427849692819
mop_usd,2024-12-01,24.94526937764962
mop_usd,2025-01-01,22.88317961151424
mop_usd,2025-02-01,20.14456592733868
mop_usd,2025-03-01,23.390962453556632
mop_usd,2025-04-01,22.82422906615662
mop_usd,2025-05-01,23.4258982938072
mop_usd,2025-06-01,24.049484429123723
mop_usd,2025-07-01,25.108360029965663
mop_usd,2025-08-01,25.40154534124265
mop_usd,2025-09-01,27.963608725727745
mop_usd,2025-10-01,26.058964864897437
mop_usd,2025-11-01,25.451098274234877
mop_usd,2025-12-01,27.217973415047318
mop_usd,2026-01-01,22.058749145372246
mop_usd,2026-02-01,21.345710871148356
mop_usd,2026-03-01,21.54895986273964
units,2020-01-01,2125869.0
units,2020-02-01,1278137.0
units,2020-03-01,939339.0
units,2020-05-01,1710800.0
units,2020-06-01,3519077.0
units,2020-07-01,2558833.0
units,2020-08-01,4642864.0
units,2020-09-01,5081785.0
units,2020-10-01,6274681.0
units,2020-11-01,4235934.0
units,2020-12-01,5213716.0
units,2021-01-01,4440494.0
units,2021-02-01,3364539.0
units,2021-03-01,3735248.0
units,2021-04-01,2660755.0
units,2021-05-01,3255646.0
units,2021-06-01,5299794.0
units,2021-07-01,6446535.0
units,2021-08-01,7187533.0
units,2021-09-01,10085327.0
units,2021-10-01,10146742.0
units,2021-11-01,6108279.0
units,2021-12-01,5381919.0
units,2022-01-01,4899418.0
units,2022-02-01,4457038.0
units,2022-03-01,4508468.0
units,2022-04-01,6822631.0
units,2022-05-01,7593800.0
units,2022-06-01,9452904.0
units,2022-07-01,10123012.0
units,2022-08-01,10942714.0
units,2022-09-01,16119996.0
units,2022-10-01,10165928.0
units,2022-11-01,6524272.0
units,2022-12-01,8527820.0
units,2023-01-01,8771950.0
units,2023-02-01,8233401.0
units,2023-03-01,8064572.0
units,2023-04-01,10598391.0
units,2023-05-01,10766086.0
units,2023-06-01,11386548.0
units,2023-07-01,13456259.0
units,2023-08-01,13925112.0
units,2023-09-01,20543954.0
units,2023-10-01,12375894.0
units,2023-11-01,7502746.0
units,2023-12-01,8530192.0
units,2024-01-01,8878062.0
units,2024-02-01,8824336.0
units,2024-03-01,7906231.0
units,2024-04-01,9547988.0
units,2024-05-01,9801371.0
units,2024-06-01,10135824.0
units,2024-07-01,9775649.0
units,2024-08-01,12595054.0
units,2024-09-01,15642395.0
units,2024-10-01,11133288.0
units,2024-11-01,6365945.0
units,2024-12-01,8451633.0
units,2025-01-01,8901999.0
units,2025-02-01,8243282.0
units,2025-03-01,7744049.0
units,2025-04-01,8196012.0
units,2025-05-01,8776767.0
units,2025-06-01,9732974.0
units,2025-07-01,10786895.0
units,2025-08-01,14770461.0
units,2025-09-01,14289169.0
units,2025-10-01,8604640.0
units,2025-11-01,5785430.0
units,2025-12-01,8411020.0
units,2026-01-01,8812530.0
units,2026-02-01,7181209.0
units,2026-03-01,8407934.0
value_inr_m,2020-01-01,6609.871745999997
value_inr_m,2020-02-01,5396.778167999999
value_inr_m,2020-03-01,3878.7393880000004
value_inr_m,2020-05-01,5389.086985
value_inr_m,2020-06-01,9642.942718999993
value_inr_m,2020-07-01,8098.634053999999
value_inr_m,2020-08-01,15811.959452999983
value_inr_m,2020-09-01,16944.980927
value_inr_m,2020-10-01,21877.78638
value_inr_m,2020-11-01,14108.902234880667
value_inr_m,2020-12-01,12367.280819999996
value_inr_m,2021-01-01,14083.020701000005
value_inr_m,2021-02-01,10238.364224999994
value_inr_m,2021-03-01,12016.225041000007
value_inr_m,2021-04-01,7978.1021029999965
value_inr_m,2021-05-01,8807.082649000002
value_inr_m,2021-06-01,11867.076743000001
value_inr_m,2021-07-01,17231.990372
value_inr_m,2021-08-01,18898.898322000005
value_inr_m,2021-09-01,30981.480927000008
value_inr_m,2021-10-01,25839.366799096322
value_inr_m,2021-11-01,15812.303828000002
value_inr_m,2021-12-01,16347.972692000001
value_inr_m,2022-01-01,12595.21984899999
value_inr_m,2022-02-01,11611.025585000001
value_inr_m,2022-03-01,13284.813080999991
value_inr_m,2022-04-01,18522.960450999988
value_inr_m,2022-05-01,18147.609643999996
value_inr_m,2022-06-01,23465.168887999967
value_inr_m,2022-07-01,26113.29468100001
value_inr_m,2022-08-01,29334.383122000003
value_inr_m,2022-09-01,43101.614189999986
value_inr_m,2022-10-01,26722.263154
value_inr_m,2022-11-01,16895.674730000006
value_inr_m,2022-12-01,19566.690298000016
value_inr_m,2023-01-01,19987.421465000003
value_inr_m,2023-02-01,19031.051975999984
value_inr_m,2023-03-01,18372.88568400002
value_inr_m,2023-04-01,21997.33473699998
value_inr_m,2023-05-01,23389.782616000037
value_inr_m,2023-06-01,23529.601070999994
value_inr_m,2023-07-01,30121.97136300001
value_inr_m,2023-08-01,27357.877321999975
value_inr_m,2023-09-01,44362.525826999976
value_inr_m,2023-10-01,28522.326362000007
value_inr_m,2023-11-01,16685.000493931042
value_inr_m,2023-12-01,15530.243085000006
value_inr_m,2024-01-01,16540.306675999993
value_inr_m,2024-02-01,15731.335441608488
value_inr_m,2024-03-01,16092.75712957726
value_inr_m,2024-04-01,17880.126423999976
value_inr_m,2024-05-01,18327.420698495047
value_inr_m,2024-06-01,20397.84263602831
value_inr_m,2024-07-01,20142.066123999997
value_inr_m,2024-08-01,27694.235526370456
value_inr_m,2024-09-01,35361.784929999965
value_inr_m,2024-10-01,24618.143744999998
value_inr_m,2024-11-01,11894.112063000004
value_inr_m,2024-12-01,17924.127593999972
value_inr_m,2025-01-01,17572.373747999973
value_inr_m,2025-02-01,14444.024256999992
value_inr_m,2025-03-01,15683.82630099998
value_inr_m,2025-04-01,16006.659054999993
value_inr_m,2025-05-01,17526.615388000002
value_inr_m,2025-06-01,20119.820191000028
value_inr_m,2025-07-01,23332.163292000052
value_inr_m,2025-08-01,32847.14968100001
value_inr_m,2025-09-01,35280.48360999995
value_inr_m,2025-10-01,19814.26475300002
value_inr_m,2025-11-01,13089.955421999986
value_inr_m,2025-12-01,20607.01977099998
value_inr_m,2026-01-01,17649.638633000024
value_inr_m,2026-02-01,13910.32443299999
value_inr_m,2026-03-01,16851.246680000007
value_usd_m,2020-01-01,92.73436358861177
value_usd_m,2020-02-01,75.35488440362052
value_usd_m,2020-03-01,51.92455571334328
value_usd_m,2020-05-01,71.0705096038592
value_usd_m,2020-06-01,127.13157555494324
value_usd_m,2020-07-01,108.00374814879024
value_usd_m,2020-08-01,211.78630868723897
value_usd_m,2020-09-01,230.28081145096928
value_usd_m,2020-10-01,297.2314515193351
value_usd_m,2020-11-01,189.99964225684724
value_usd_m,2020-12-01,167.7953735278723
value_usd_m,2021-01-01,192.56135210604356
value_usd_m,2021-02-01,140.5889396637026
value_usd_m,2021-03-01,165.12270177510462
value_usd_m,2021-04-01,107.10464858834567
value_usd_m,2021-05-01,120.33124939199608
value_usd_m,2021-06-01,161.15663656989412
value_usd_m,2021-07-01,231.18495735311325
value_usd_m,2021-08-01,254.98846308280397
value_usd_m,2021-09-01,420.8723830983665
value_usd_m,2021-10-01,344.8475760264246
value_usd_m,2021-11-01,212.2984073629022
value_usd_m,2021-12-01,216.671438341313
value_usd_m,2022-01-01,169.11224868237073
value_usd_m,2022-02-01,154.89415747088853
value_usd_m,2022-03-01,174.24565823813842
value_usd_m,2022-04-01,243.08139695658744
value_usd_m,2022-05-01,234.6908351697238
value_usd_m,2022-06-01,300.58605067871247
value_usd_m,2022-07-01,328.3850571709002
value_usd_m,2022-08-01,368.5915814098776
value_usd_m,2022-09-01,537.3614842440546
value_usd_m,2022-10-01,324.5820589100555
value_usd_m,2022-11-01,207.16758630524296
value_usd_m,2022-12-01,237.33713272021998
value_usd_m,2023-01-01,244.56538361156473
value_usd_m,2023-02-01,230.3529588854195
value_usd_m,2023-03-01,223.40921548988317
value_usd_m,2023-04-01,268.4151403627409
value_usd_m,2023-05-01,284.12270881877015
value_usd_m,2023-06-01,286.3359003524438
value_usd_m,2023-07-01,366.50467899235883
value_usd_m,2023-08-01,330.2653134637258
value_usd_m,2023-09-01,534.1938770971278
value_usd_m,2023-10-01,342.6701288344208
value_usd_m,2023-11-01,200.20305273266658
value_usd_m,2023-12-01,186.577817350024
value_usd_m,2024-01-01,199.0167584404884
value_usd_m,2024-02-01,189.59419249382267
value_usd_m,2024-03-01,193.74442890072024
value_usd_m,2024-04-01,214.3571061515737
value_usd_m,2024-05-01,219.86362576145902
value_usd_m,2024-06-01,244.33124658802396
value_usd_m,2024-07-01,240.9258801175796
value_usd_m,2024-08-01,330.14616987530036
value_usd_m,2024-09-01,421.9832753414064
value_usd_m,2024-10-01,292.90520750246014
value_usd_m,2024-11-01,140.96925897612755
value_usd_m,2024-12-01,210.828261866033
value_usd_m,2025-01-01,203.70604201852015
value_usd_m,2025-02-01,166.05733770664423
value_usd_m,2025-03-01,181.1407593975028
value_usd_m,2025-04-01,187.06765531696843
value_usd_m,2025-05-01,205.60365109044335
value_usd_m,2025-06-01,234.07300666206604
value_usd_m,2025-07-01,270.84124326543645
value_usd_m,2025-08-01,375.1925348025562
value_usd_m,2025-09-01,399.5767309317984
value_usd_m,2025-10-01,224.22801143509108
value_usd_m,2025-11-01,147.24554748870668
value_usd_m,2025-12-01,228.93091875343129
value_usd_m,2026-01-01,194.39338860606728
value_usd_m,2026-02-01,153.28801101928843
value_usd_m,2026-03-01,181.18223229456396
